/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10397/: vold = 300.0495114548424, vnew = 83.70024777701835, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10398/: vold = 202.66621108550729, vnew = 95.41063928134922, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10399/: vold = 151.49121625753068, vnew = 82.33221424836617, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/104/: vold = 256.69083473181485, vnew = 21.72477972636016, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1040/: vold = 22.455642006937587, vnew = 171.60055505098282, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10400/: vold = 48.73493010297193, vnew = 185.68126261247897, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10401/: vold = 213.80058294643223, vnew = 46.28007886647049, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10402/: vold = 341.69307857546664, vnew = 48.29811781536074, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10403/: vold = 98.27063137466244, vnew = 100.72025205593306, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10404/: vold = 167.60989699886846, vnew = 53.767178705769645, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10405/: vold = 72.5374105242095, vnew = 146.20464550203698, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10406/: vold = 259.2759488293459, vnew = 34.04710594812886, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10407/: vold = 95.43851782346135, vnew = 133.76452741032918, difference = 0, maxdiff = 0.0
